No,ページ,アンカー,指示種別,修正前,修正後,自動置換可,反映済,検証結果,備考
1,1,英文タイトル,置換,How Do High School,How Does High School,Y,,,目次(綴じ込み前半の英文目次)にも同一修正あり(No.112)
2,1,Abstract第1文,置換,understand what and how “religion” is taught in school education,understand what “religion” is taught about and how it is taught in school education,Y,,,
3,1,Abstract第2段落冒頭,置換,Guidelines include a policy for the subject,Guidelines include policies for the subject,Y,,,
4,1,Abstract第2段落,置換,The explanatory document addresses,The explanatory documents addresses,N,,,"「document」に s を挿入する指示。動詞 addresses が単数形のまま不整合になるため、address に直す意図か著者確認推奨"
5,1,Abstract第3段落 ①,置換,“Religion” should be described comprehensively,“Religion” is described comprehensively,Y,,,
6,1,Abstract第3段落 ⑤,置換,There is a section that discusses the “memory” of war and war dead,There are units that discuss the “memory” of war and war dead,Y,,,行末余白に判読困難な小書き込みあり(要原稿確認)
7,2,本文中段「主に宗教研究〜大学教育において提唱・実践」,照会,,,N,,,該当行に赤の小書き込みあり(読点位置または語の修正と思われるが判読困難。要原稿確認)
8,3,第1段落「長谷川2025」の前,挿入,世界史の中の宗教を論じた,世界史の中の宗教(特にキリスト教)を論じた,Y,,,
9,3,「目標」引用ブロック内,照会,,,N,,,「働かせ」「立ち」付近に赤の丸囲み・線あり(読点修正か体裁指示か判読困難。要原稿確認)
10,5,3-1第1段落末尾「表1の通りである」,体裁,,,N,,,「表1」をゴシック体に(※ゴチに)
11,5,「全12冊の執筆者(担当部分は不明)は延べ〜人」,置換,,延べ239人,N,,,元の数字に取り消し線(判読困難)。「239」に修正
12,5,執筆者内訳「高校教員〜人」,置換,,高校教員105人,N,,,元の数字に取り消し線。「105」に修正
13,5,執筆者内訳「歴史学〜人」,置換,,歴史学92人,N,,,元の数字に取り消し線。「92」に修正
14,5,執筆者内訳「その他〜人」,照会,,,N,,,その他の人数を修正(「7」か「3」か判読要確認。「◯名」との書き込みも並ぶ)
15,5,執筆者内訳,挿入,,"政治学10人、経済学7人、歴史教育4人",N,,,内訳への追加。挿入位置(版元編集部11人の前後)は赤線参照
16,5,"「「世界史探究」は304,585冊である」の後",挿入,,[渡辺2025],N,,,出典の挿入。挿入位置は赤カレット参照(「である」の直後か文末か要確認)
17,5,「宗教研究者はほぼ見当たらなかった」付近,照会,,,N,,,前後の記号(引用符・注番号か)に「トル」指示2箇所。対象の記号を原稿で要確認
18,5,ページ下部余白の長文書き足し,挿入,,"宗教研究者としては、④に繁田真爾氏(日本宗教史)が関わっているのが注目される。また、②には小松久男氏(中央アジア・イスラーム史)、⑥⑪には守川知子氏(イラン・イスラーム史)、⑧⑨には大橋幸泰氏(キリシタン史)が関わっている。",N,,,"挿入位置は「宗教研究者はほぼ見当たらなかった」の後と推定(引き出し線参照)。氏名の漢字は要原稿確認"
19,6,表1全体,体裁,,,N,,,※各段2行分にしてレイアウト均等(全12行の行高を揃える)
20,6,表1,体裁,,,N,,,行末「そろえる」指示あり(対象列は赤線参照)
21,6,3-2第1段落 ①帝国の索引語列,挿入,"キリスト教、イェルサレム、イエス、ルター、フランシスコ=ザビエル","キリスト教、イェルサレム、イエス、ルター、カルヴァン、フランシスコ=ザビエル",Y,,,
22,6,表1の下の段落「宗教研究者が正面から関わっていない」,照会,,,N,,,"「正面から」への修正線と「宗教史学者など」「多くは」の書き込みあり。係り先が判読困難のため要原稿確認"
23,7,①帝国の索引語列(ページ冒頭),挿入,"ヒンドゥー教(徒)、カースト制、ユダヤ教","ヒンドゥー教(徒)、カースト制、ヴァルナ制、ユダヤ教",Y,,,
24,7,①帝国の索引語列「儒教、太平天国」付近,挿入,,"孔子、洪秀全、",N,,,"上部余白の書き込み。「孔子」は「儒教」の後、「洪秀全」は「太平天国」の後と推定(カレット位置要確認)"
25,7,①帝国の索引語列,挿入,,"義和団(事件)、聖徳太子(厩戸王)、",N,,,上部余白の書き込み。挿入位置は引き出し線参照(「皇民化政策」付近と推定)
26,7,②山川Ⅰの索引語列,挿入,,"カリフ、",N,,,右余白。「オスマン帝国」の前後に挿入と推定
27,7,②山川Ⅰの索引語列,挿入,,"「皇民化」政策、",N,,,左余白。挿入位置は赤線参照
28,7,②山川Ⅰの索引語列,挿入,,"義和団(戦争)、",N,,,右余白。挿入位置は赤線参照
29,7,③東書Ⅰの索引語列,挿入,,"シク戦争、",N,,,挿入位置は赤線参照
30,7,③東書Ⅰの索引語列「儒教」,挿入,,(儒学),N,,,「儒教」の後に「(儒学)」を補うと推定
31,7,③東書Ⅰの索引語列,挿入,,"洪秀全、イラン革命、",N,,,左余白に「イラン革命、」あり。それぞれ挿入位置は赤線参照。「ホメイニ」に丸囲みあり(移動指示の可能性、要確認)
32,7,④実教Ⅰの索引語列,挿入,,"王権神授説、シオニズム、太平天国、アリー、",N,,,4語それぞれの挿入位置は赤カレット参照
33,7,⑤実教Ⅱの索引語列,挿入,,"プロテスタント、",N,,,左余白。「イエズス会」付近に挿入と推定
34,7,⑥山川Ⅱの索引語列,挿入,,"洪秀全、",N,,,左余白。「太平天国の内乱」付近に挿入と推定
35,7,⑦山川Ⅲの索引語列,挿入,,"ピューリタン革命、",N,,,左余白。挿入位置は赤線参照
36,7,⑦山川Ⅲの索引語列「義和団」,置換,"太平天国、義和団、ええじゃないか","太平天国、義和団(戦争)、ええじゃないか",Y,,,
